Area_1;Area_2;Dirt;B_cells;CD4;CD8;epithelial;LP;lymphocytes;macrophages;monocytes;muscular;epithel_prolif;strong_infiltrate;T_cells;Tregs;B_cells_2;T_cells_2;Monocytes_2;Macrophages_2
391;670;;;;;10962;357;1303;;;1634;12462;12060;;;;4965;14910;10438
392;673;;;;;10963;358;1307;;;1644;12471;12063;;;;5037;14955;10495
393;674;;;;;10964;359;1313;;;1646;12475;12066;;;;5129;14962;10499
396;676;;;;;10965;360;1315;;;1649;12479;12071;;;;5133;14981;10557
399;677;;;;;10966;361;1318;;;1650;12480;12074;;;;5138;15007;10582
401;678;;;;;10969;363;1330;;;1657;12481;12081;;;;5148;15012;10641
405;679;;;;;10970;364;1339;;;1669;12484;12082;;;;5198;15086;10674
406;680;;;;;10971;366;1343;;;1672;12491;12086;;;;5237;15093;10700
408;685;;;;;10972;367;1346;;;1676;12493;12092;;;;5495;15099;10726
409;687;;;;;10973;368;1354;;;1680;12504;12094;;;;5544;15151;10742
410;688;;;;;10974;369;1355;;;1683;12510;12095;;;;5566;15154;10748
411;689;;;;;10975;370;1368;;;1689;12517;12112;;;;5585;15199;10914
412;690;;;;;10976;371;1369;;;1694;12518;12115;;;;5592;15221;10967
413;700;;;;;10978;372;1370;;;1705;12523;12119;;;;5593;15230;10990
418;701;;;;;10979;373;1376;;;1707;12524;12140;;;;5612;15260;11019
421;702;;;;;10980;374;1377;;;1708;12528;12144;;;;5679;15272;11026
422;703;;;;;10981;375;1380;;;1720;12537;12145;;;;5737;15279;11030
424;704;;;;;10982;376;1381;;;1734;12542;12151;;;;5815;15333;11047
426;705;;;;;10983;378;1386;;;1748;12545;12154;;;;5924;15379;11070
427;710;;;;;10984;379;1389;;;1751;12549;12156;;;;5929;15401;11071
428;716;;;;;10985;380;1390;;;1760;12554;12158;;;;5961;15500;11076
429;718;;;;;10986;381;1391;;;1761;12557;12159;;;;6008;15827;11077
430;721;;;;;10987;382;1395;;;1765;12563;12161;;;;6036;15897;11087
433;725;;;;;10988;385;1396;;;1766;12567;12168;;;;6094;15959;11089
436;726;;;;;10989;386;1402;;;1773;12572;12171;;;;6109;15970;11096
437;727;;;;;10990;388;1404;;;1774;12576;12174;;;;6137;16128;11236
440;728;;;;;10991;389;1411;;;1779;12578;12175;;;;6143;16171;11252
441;731;;;;;10992;391;1413;;;1780;12582;12176;;;;6171;16183;11258
442;732;;;;;10993;392;1414;;;1784;12583;12189;;;;6308;16236;11351
